timestamp,sn,text,EST
2017-07-17 00:18:43,julianawriter,@kylegriffin1 .@TODAYshow #JaySekulow stupid irresponsible #SecretService projection statement to deflect… https://t.co/KGmUphlncY,2017-07-16 19:18:43
2017-07-17 00:17:29,kingfowlness,RT @Thom_Hartmann: #FoxNews Feeds Nonsense to its Viewers and #DonaldTrump is One of Them https://t.co/VzUzjy0bvm #FauxNews #FakeNews #Alte…,2017-07-16 19:17:29
2017-07-17 00:17:19,Annamor62100662,RT @Annamor62100662: #DonaldTrump  #DonaldTrumpJr &amp;Whole Fricking Campaign  &amp;Administration Is Most Corupt Criminal Organization In America…,2017-07-16 19:17:19
2017-07-17 00:16:46,julianawriter,@kylegriffin1 This irresponsible stupid #JaySekulow  #SecretService comment is incompetence how much lower can… https://t.co/4r9o9SzFdd,2017-07-16 19:16:46
2017-07-17 00:16:45,Annamor62100662,"RT @Annamor62100662: #DonaldTrump #DonaldTrumpJr #TrumpCrimeFamily &amp; The Trump Administration Is The Assembly Of The Most
Dangerous Corupt…",2017-07-16 19:16:45
2017-07-17 00:16:26,Annamor62100662,"RT @9a1e6c8a99984e2: I Displaced Thousands Of Poor Americans To Build Billion Dollar Towers....#DonaldTrump 😠 
I Build Houses For The Poor.…",2017-07-16 19:16:26
2017-07-17 00:16:20,zeusFanHouse,RT @zeusFanHouse: #BREAKING NEWS: #NSA Documents PROVE #Surveillance of #DonaldTrump and #AlexJones https://t.co/tH9pWZVFnz #ObamaDC2017 #O…,2017-07-16 19:16:20
2017-07-17 00:15:37,AntifaOfficial,berniesrevolution #antifa #fucktrump #feminism #internationalantifa #donaldtrump #communism #socialism https://t.co/sREHtkGl4u,2017-07-16 19:15:37
2017-07-17 00:15:12,Trendolizer,"Trump #lawyer defends #DonJr. meeting, says #SecretService allowed it #President #DonaldTrump https://t.co/H71EvAWnmS",2017-07-16 19:15:12
2017-07-17 00:14:58,DeposterChild,"#DonaldTrump RT @benphillips76  
There should be an app to watch all Trump interviews like this https://t.co/0JuoFMPJYo",2017-07-16 19:14:58
2017-07-17 00:13:20,AlexBondarev25,GOT IT GUYS! Donald Trump is impersonating Mike Mayers from Wayne's World! That's 101% doubtless! #Trump… https://t.co/tzdwODmuIJ,2017-07-16 19:13:20
2017-07-17 00:13:05,mark_negie,If only Donnies hands were as big as his neck waddle. @realDonaldTrump #GOP #DonaldTrump https://t.co/xWNkU72EIG,2017-07-16 19:13:05
2017-07-17 00:11:44,SocialNet_Newz,#Trump defends #DonaldTrump Jr. in Sunday morning tweetstorm - CNN https://t.co/ao8y9SswMY https://t.co/05QAWCSTmQ,2017-07-16 19:11:44
2017-07-17 00:11:43,GaryMane1,"RT @AbigAnderson: One Small North #dakota Town Taught Mark Zuckerberg Exactly Why #DonaldTrump Is #President
https://t.co/djVD4VKCLs
#Sunda…",2017-07-16 19:11:43
2017-07-17 00:11:43,regraz07,RT @Jeff81442228: Another great thread by @ThomasWictor #AmericaFirst #trumptrain #Trumprussia #DonaldTrumpJr #DonaldTrump #ccot #russiagat…,2017-07-16 19:11:43
2017-07-17 00:11:40,shareitarie10,RT @JcKatherine: Terrible News For #donaldtrump @realDonaldTrump As A Connection Is Made Between Russian Lawyer And The President https://t…,2017-07-16 19:11:40
2017-07-17 00:11:32,jeffreydburgess,"I'd like to know how many times a week Pres. Donald Trump uses the words ""very, very"" in a sentence. #donaldtrump #trump",2017-07-16 19:11:32
2017-07-17 00:11:27,tiggboriqua09,RT @gatita_bonita_s: One of the best Memes I have seen #CNNBlackmail #CNNMemeWar #CNN #Donaldtrump https://t.co/AijUhtitDw,2017-07-16 19:11:27
2017-07-17 00:10:26,ISIS_EVIL,The #Wahhabi Mind-Set https://t.co/rQzdWa1mnA #Wahhabism #Salafism #SaudiArabia #ISIS #Taliban #BokoHaram #AlShabab #DonaldTrump,2017-07-16 19:10:26
2017-07-17 00:09:29,ganpy,RT @wfd_wfd: #TrumpWatch &gt; “Trump Takes ‘Sophisticated Eating’ Lessons” by @ganpy https://t.co/Xeoc6KaSCl #DonaldTrump #Politics,2017-07-16 19:09:29
2017-07-17 00:09:19,midniteshopper,"RT @mikaela_von: I'm dying 😂😂😂😂😂
#trump #potus #g20 #merkel #DonaldTrump #MAGA https://t.co/qxj1mpJqAs",2017-07-16 19:09:19
2017-07-17 00:09:04,mungle70,"RT @WashTimes: #DonaldTrump names #TyCobb as White House special counsel in light of ongoing #Russian investigation. #russiameeting
https:/…",2017-07-16 19:09:04
2017-07-17 00:08:13,ISIL_DEVILS,An Introduction to #Wahhabism https://t.co/HjD6aiWNws #SaudiArabia #Salafism #Deobandi #ISIS #Taliban #BokoHaram #DonaldTrump #MikePence,2017-07-16 19:08:13
2017-07-17 00:06:33,blkjustice32,RT @AFRICANAMERICA1: White America you voted for a Charlatan in #DonaldTrump and now you're just beginning to see the negative fallout from…,2017-07-16 19:06:33
2017-07-17 00:06:19,BanWahhabism,The Mischief of the Pseudo #Muslims https://t.co/tcOfre7yMj #ISIS #Taliban #BokoHaram #AlShabab #AlQaeda #AlNusra #DonaldTrump #MikePence,2017-07-16 19:06:19
2017-07-17 00:05:40,anoushay1992,RT @rafu007: The Mischief of the Pseudo #Muslims https://t.co/aHrad9F7Hd #ISIS #Taliban #BokoHaram #AlShabab #AlQaeda #AlNusra #DonaldTrump…,2017-07-16 19:05:40
